name,nickname,stance,rank,overall,striking,wrestling,grappling,defense,career_score,finishing,dominance,wins,losses,draws,ufcwins,ufclosses,ufcdraws,ufctotalfights,Titlefighs_wins,pfp_rank,div_rank,divisions,maindiv,dob,strikes_landed_permin,sigstrikes_attempted,striking_acc,kd_permin,striking_def,strabsorbpm,takedown_landed,takedown_attempted,takedown_acc,control_time,takedown_def,sub_attempted,sub_avg15,total_sub,sub_resistance,durability
Dione Barbosa,The Witch,Orthodox,28,50.42,70.93,30.83,79.16,82.51,6.16,62.5,19.1,8,3,0,8,3,0,3,0,Unranked,Unranked,"[""women's flyweight""]",women's flyweight,1992/05/08,10.77,8.23,71.41,0.0,81.58,86.14,25.98,14.27,33.01,5.62,42.0,14.27,82.13,15.33,100.0,70.37
Ivana Petrovic,,Southpaw,29,48.94,63.92,41.57,72.59,61.94,3.18,100.0,51.69,7,3,0,7,3,0,4,0,Unranked,Unranked,"[""women's flyweight""]",women's flyweight,1994/06/11,7.27,10.34,39.28,0.0,52.64,93.45,28.54,21.42,37.99,20.26,61.01,42.86,28.57,15.33,100.0,33.33
Maryna Moroz,Iron Lady,Orthodox,30,48.84,67.23,32.6,74.49,62.58,23.28,50.0,26.37,11,6,0,11,6,0,12,0,Unranked,7.0,"[""women's flyweight"", ""women's strawweight""]",women's flyweight,1991/09/08,27.28,89.6,10.72,0.0,39.47,62.94,9.43,29.58,24.01,31.0,42.0,57.14,21.42,30.67,80.01,49.08
Ariane da Silva,Queen of Violence,Orthodox,31,48.83,84.6,31.52,70.65,54.66,18.82,50.0,16.25,17,11,0,17,11,0,14,0,Unranked,11.0,"[""women's flyweight"", ""women's bantamweight""]",women's flyweight,1994/01/26,24.33,27.93,39.28,100.0,36.84,68.21,6.33,13.26,37.99,22.28,67.99,28.57,10.7,30.67,80.01,26.99
Luana Carolina,Dread,Orthodox,32,48.67,82.84,29.32,64.33,67.95,18.59,37.5,24.9,11,4,0,11,4,0,9,0,Unranked,Unranked,"[""women's flyweight""]",women's flyweight,1993/06/11,30.41,46.42,71.41,33.34,36.84,77.45,4.58,7.15,37.01,21.96,74.01,42.86,21.42,0.0,80.01,53.09
Mariya Agapova,Money Mashka,Southpaw,33,48.56,88.6,35.53,68.46,41.72,6.3,100.0,8.16,10,5,0,10,5,0,6,0,Unranked,Unranked,"[""women's flyweight""]",women's flyweight,1997/04/07,27.38,16.57,85.71,66.69,42.09,76.59,7.41,2.03,66.0,4.8,45.02,28.57,28.57,30.67,40.0,0.0
Sabina Mazo,Colombian Queen,Orthodox,34,48.41,78.66,46.71,61.91,57.54,9.39,50.0,19.83,9,4,0,9,4,0,7,0,Unranked,Unranked,"[""women's flyweight"", ""women's bantamweight""]",women's flyweight,1997/03/25,40.71,13.31,46.43,33.34,55.26,68.74,8.76,5.1,80.0,13.6,58.99,14.27,7.13,15.33,60.0,26.99
Carli Judice,Crispy,Southpaw,35,48.27,94.78,18.0,60.22,65.21,3.09,100.0,5.59,4,2,0,4,2,0,2,0,Unranked,Unranked,"[""women's flyweight""]",women's flyweight,1999/03/02,81.24,3.48,82.13,33.34,44.74,7.96,12.78,4.08,25.0,1.1,70.01,0.0,0.0,0.0,100.0,55.56
Antonina Shevchenko,La Pantera,Southpaw,36,47.86,78.36,32.22,67.72,59.68,12.47,62.5,28.33,10,4,0,10,4,0,8,0,Unranked,11.0,"[""women's flyweight""]",women's flyweight,1984/11/20,22.83,28.65,89.28,0.0,42.09,84.0,5.8,7.15,42.01,22.2,53.0,42.86,14.27,15.33,80.01,36.11
Jamey-Lyn Horth,,Orthodox,37,47.51,76.56,33.96,61.38,80.45,9.29,25.0,27.39,8,2,0,8,2,0,5,0,Unranked,Unranked,"[""women's flyweight"", ""women's bantamweight""]",women's flyweight,1990/03/30,20.11,19.85,85.71,0.0,68.41,88.07,16.15,14.27,42.01,13.42,76.0,0.0,7.13,0.0,100.0,64.44
Poliana Botelho,,Orthodox,38,46.68,83.56,37.85,55.15,58.76,9.39,50.0,20.1,8,5,0,8,5,0,7,0,Unranked,14.0,"[""women's flyweight"", ""women's strawweight""]",women's flyweight,1988/12/15,15.16,22.45,100.0,33.34,47.36,85.39,11.45,7.15,57.0,13.78,76.0,0.0,0.0,0.0,60.0,26.99
Juliana Miller,Killer,Orthodox,39,45.14,67.4,41.31,70.93,49.79,6.21,62.5,49.92,5,3,0,5,3,0,4,0,Unranked,Unranked,"[""women's flyweight""]",women's flyweight,1996/05/07,13.8,6.86,50.0,0.0,0.0,74.87,29.61,18.35,37.99,19.56,43.99,42.86,46.42,0.0,100.0,36.11
Liana Jojua,She Wolf,Orthodox,40,44.41,57.33,42.96,72.31,41.9,3.18,100.0,12.08,8,5,0,8,5,0,4,0,Unranked,Unranked,"[""women's flyweight"", ""women's bantamweight""]",women's flyweight,1995/03/22,11.33,12.68,0.0,0.0,47.36,58.33,23.02,6.11,66.0,4.74,50.01,0.0,46.42,15.33,100.0,0.0
Veronica Hardy,,Southpaw,41,44.31,69.31,32.89,66.09,56.59,12.52,43.75,16.74,9,5,1,9,5,1,9,0,Unranked,Unranked,"[""women's flyweight"", ""women's bantamweight""]",women's flyweight,1995/10/30,16.92,15.82,53.57,0.0,34.22,78.08,12.52,17.34,41.0,14.76,55.01,28.57,10.7,15.33,80.01,33.33
