,name,height,weight,reach,wins,losses,draws,str_acc,sapm,str_def,td_avg,td_def,sub_avg,stance,dob
174,Antonina Shevchenko,172.72,56.7,170.18,10,4,0,55.0,2.93,52.0,0.43,53.0,0.4,Southpaw,1984/11/20
175,Antonio Arroyo,190.5,83.91,185.42,9,5,0,66.0,2.02,50.0,1.14,41.0,0.2,Orthodox,1989/07/01
176,Antonio Banuelos,165.1,61.23,160.02,20,11,1,33.0,3.15,58.0,1.62,86.0,,Orthodox,1979/09/23
177,Antonio Braga Neto,190.5,83.91,195.58,9,3,0,33.0,3.92,45.0,3.07,0.0,0.5,Orthodox,1987/10/29
178,Antonio Carlos Junior,187.96,83.91,200.66,11,5,0,42.0,2.14,52.0,3.42,53.0,0.8,Orthodox,1990/03/16
179,Antonio Carvalho,175.26,65.77,177.8,15,6,0,29.0,3.62,64.0,0.0,100.0,0.0,Orthodox,1979/05/30
180,Antonio Dos Santos,177.8,83.91,,6,4,0,51.0,3.94,43.0,0.0,100.0,,Orthodox,1988/07/21
181,Antonio McKee,172.72,70.31,,29,6,2,45.0,0.74,74.0,1.47,57.0,,Southpaw,1970/03/12
182,Antonio Mendes,190.5,92.99,195.58,18,13,0,47.0,6.85,22.0,2.51,100.0,,Southpaw,1981/04/19
183,Antonio Rodrigo Nogueira,190.5,108.86,195.58,34,10,1,42.0,2.4,55.0,1.3,36.0,2.4,Orthodox,1976/06/02
184,Antonio Silva,193.04,119.75,208.28,19,12,1,45.0,3.0899999999999994,50.0,0.82,66.0,0.8,Orthodox,1979/09/14
185,Antonio Trocoli,198.12,83.91,200.66,12,5,0,50.0,5.79,23.0,0.84,50.0,,Orthodox,1990/12/06
186,Anying Wang,182.88,77.11,,2,1,0,26.0,1.63,44.0,0.0,33.0,0.0,Orthodox,1991/04/04
187,Aoriqileng,170.18,61.23,175.26,25,12,0,49.0,5.46,48.0,1.2,58.0,0.0,Orthodox,1993/06/25
188,Ariane Carnelossi,157.48,52.15999999999999,154.94,15,3,0,39.0,4.74,45.0,1.37,14.0,0.3,Orthodox,1992/11/17
189,Ariane da Silva,167.64000000000001,56.7,170.18,17,11,0,41.0,4.4,50.0,0.47000000000000003,68.0,0.3,Orthodox,1994/01/26
190,Ariel Beck,167.64,56.7,167.64,4,5,0,,4.31,,0.0,0.0,0.0,Southpaw,1990/09/16
191,Arjan Bhullar,185.42,111.13,190.5,9,1,0,56.0,3.25,59.0,1.73,100.0,0.0,Orthodox,1986/05/13
192,Arman Tsarukyan,170.18,70.31,182.88,22,3,0,48.0,1.84,53.0,3.25,75.0,0.0,Orthodox,1996/10/11
193,Armen Petrosyan,190.5,83.91,180.34,9,5,0,53.0,3.31,53.0,0.17,41.0,0.0,Orthodox,1990/11/03
194,Arnold Allen,172.72,65.77,177.8,20,3,0,41.0,2.88,61.0,0.9299999999999999,75.0,0.3,Southpaw,1994/01/22
195,Artem Lobov,175.26,65.77,165.1,13,15,1,41.0,4.82,50.0,0.39,52.0,0.0,Southpaw,1986/08/11
196,Asbel Cancio,177.8,102.06,,0,1,0,0.0,0.0,0.0,0.0,0.0,,,
197,Ashkan Mokhtarian,167.64,56.7,170.18,13,3,0,43.0,3.66,43.0,0.54,33.0,,Southpaw,1985/09/15
198,Ashlee Evans-Smith,172.72,61.22999999999999,170.18,6,6,0,34.0,4.59,53.0,0.9499999999999998,50.0,0.0,Orthodox,1987/07/09
199,Ashley Yoder,170.18,52.16,175.26,8,9,0,39.0,4.13,47.0,1.09,66.0,0.6,Southpaw,1987/10/20
200,Askar Askarov,167.64,56.7,170.18,14,1,1,54.0,2.8,57.0,2.6,66.0,0.4,Orthodox,1992/10/09
201,Askar Mozharov,190.5,92.99,187.96,19,13,0,18.0,4.07,13.0,0.0,33.0,,Orthodox,1994/10/26
202,Aspen Ladd,167.64000000000001,61.23,167.64000000000001,9,3,0,47.0,4.65,47.0,1.56,62.0,0.6,Orthodox,1995/03/01
203,Assuerio Silva,177.80000000000004,109.32,,16,8,0,46.0,4.2,54.0,2.66,25.0,,Orthodox,1974/06/18
204,Asu Almabayev,162.56,56.7,165.1,21,3,0,54.0,1.7600000000000002,53.0,4.13,66.0,1.4,Orthodox,1994/01/25
205,Ateba Gautier,193.04,83.91,205.74,7,1,0,64.0,2.23,51.0,0.0,90.0,,Switch,2002/04/10
206,Augusto Mendes,167.64,61.23,165.1,6,2,0,34.0,3.91,56.0,1.75,80.0,,Orthodox,1983/03/03
207,Augusto Montano,185.42,77.11,185.42,15,3,0,,2.66,,0.0,66.0,0.0,Orthodox,1984/10/25
208,Augusto Sakai,190.5,120.19999999999999,195.58,16,5,1,49.0,3.83,48.0,0.23000000000000004,56.0,0.0,Orthodox,1991/05/09
209,Austen Lane,198.12,111.13,203.19999999999996,13,7,0,50.0,2.23,40.0,1.5200000000000002,33.0,0.0,Orthodox,1987/11/09
