name,height,weight,reach,wins,losses,draws,str_acc,sapm,str_def,splm,td_avg,td_def,td_avg_acc,sub_avg,kd,sub_att,ctrl,sig_str_landed,sig_str_atmpted,td_landed,td_atmpted,stance,nick_name,dob,division,main_div,method,method_losses,finish_round,total_rounds,title_fight,won_title_fight,total_ufc_fights,won_fight,ko_losses,totsub_losses,totdec_losses,nocon_losses,loss_fights,ko_t,totsub,totdec,pfp_rank,div_rank
Ron van Clief,177.8,86.18,,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,Orthodox,The Black Dragon,1943/01/25,['open weight'],open weight,[],['Submission'],[],0.0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0,0,0,Unranked,Unranked
Ronald Jhun,180.34,77.11,,24,26,2,57.0,3.01,50.0,1.45,1.81,100.0,100.0,,0.0,0.0,23.0,8.0,16.0,1.0,1.0,Orthodox,The Machine Gun,1970/09/21,['welterweight'],welterweight,[],['Submission'],[],3.0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0,0,0,Unranked,Unranked
Ronaldo Rodriguez,167.64,56.70000000000001,165.1,17,3,0,,3.7999999999999994,,2.7099999999999995,1.09,64.0,36.0,0.8000000000000002,0.0,1.0,787.0,0.0,0.0,2.0,7.0,Orthodox,Lazy Boy,1999/05/07,['flyweight'],flyweight,"['Decision - Unanimous', 'Submission']",['Decision - Unanimous'],"[3.0, 2.0]",9.0,0,0,3,2,0.0,0.0,1.0,0.0,1.0,0,1,1,Unranked,Unranked
Ronda Rousey,170.18,61.23,167.64,12,2,0,52.0,4.14,44.0,4.17,6.26,50.0,68.0,4.8,2.0,5.0,712.0,7.0,14.0,8.0,11.0,Orthodox,Rowdy,1987/02/01,"[""women's bantamweight""]",women's bantamweight,"['KO/TKO', 'Submission', 'KO/TKO', 'KO/TKO', 'Submission', 'Submission']","['KO/TKO', 'KO/TKO']","[1.0, 1.0, 1.0, 1.0, 3.0, 1.0]",40.0,8,6,8,6,2.0,0.0,0.0,0.0,2.0,3,3,0,4.0,0.0
Rongzhu,175.26,70.31,180.34,26,6,0,51.0,5.51,50.0,5.9,1.56,84.0,62.0,0.2,2.0,0.0,781.0,42.0,105.0,10.0,16.0,Orthodox,,2000/03/07,['lightweight'],lightweight,"['Decision - Unanimous', 'KO/TKO']","[""TKO - Doctor's Stoppage"", 'Submission', 'Decision - Unanimous']","[3.0, 3.0]",15.0,0,0,5,2,1.0,1.0,1.0,0.0,3.0,1,0,1,Unranked,Unranked
Ronnie Lawrence,172.72,61.23,172.72,8,2,0,56.0,1.75,52.0,2.78,6.75,45.0,77.0,0.2,3.0,0.0,965.0,124.0,205.0,15.0,18.0,Switch,The Heat,1992/06/13,['bantamweight'],bantamweight,"['Decision - Unanimous', 'KO/TKO']","['Decision - Unanimous', 'Overturned']","[3.0, 3.0]",12.0,0,0,4,2,0.0,0.0,1.0,1.0,1.0,1,0,1,Unranked,Unranked
Ronny Markes,185.42,83.91,190.5,17,5,0,53.0,2.43,45.0,2.17,3.13,100.0,40.0,0.5,0.0,2.0,1674.0,62.0,97.0,12.0,30.0,Orthodox,,1988/04/21,"['middleweight', 'light heavyweight']",middleweight,"['Decision - Unanimous', 'Decision - Unanimous', 'Decision - Split']","['KO/TKO', 'KO/TKO']","[3.0, 3.0, 3.0]",15.0,0,0,5,3,2.0,0.0,0.0,0.0,2.0,0,0,3,Unranked,Unranked
Rony Jason,170.18,65.77,185.42,14,7,0,44.0,3.14,53.0,2.04,0.59,36.0,30.0,0.8,2.0,4.0,680.0,45.0,117.0,3.0,10.0,Orthodox,,1984/03/21,"['featherweight', 'ultimate fighter brazil 1 featherweight tournament']",featherweight,"['KO/TKO', 'Submission', 'KO/TKO', 'Decision - Unanimous']","['Decision - Unanimous', 'Overturned', 'Decision - Split', 'KO/TKO', 'Decision - Unanimous']","[1.0, 1.0, 2.0, 3.0]",27.0,1,1,9,4,1.0,0.0,3.0,1.0,4.0,2,1,1,Unranked,Unranked
Ronys Torres,170.18,70.31,,35,5,0,26.0,1.93,57.0,0.87,4.0,16.0,47.0,,0.0,0.0,530.0,26.0,99.0,8.0,17.0,Orthodox,,1975/08/13,['lightweight'],lightweight,[],"['Decision - Split', 'Decision - Unanimous']",[],6.0,0,0,2,0,0.0,0.0,2.0,0.0,2.0,0,0,0,Unranked,Unranked
Roosevelt Roberts,187.96,70.31,185.42,12,6,0,43.0,3.1,52.0,2.84,1.18,50.0,26.0,0.6999999999999998,0.0,4.0,1196.0,55.0,167.0,5.0,26.0,Orthodox,The Predator,1994/02/11,"['lightweight', 'catch weight']",lightweight,"['Submission', 'Decision - Unanimous', 'Submission', 'Decision - Unanimous']","['KO/TKO', 'Overturned', 'Decision - Unanimous', 'Decision - Unanimous', 'Submission', 'Submission']","[2.0, 3.0, 1.0, 3.0]",30.0,0,0,10,4,1.0,2.0,2.0,1.0,5.0,0,2,2,Unranked,Unranked
