name,nickname,stance,rank,overall,striking,wrestling,grappling,defense,career_score,finishing,dominance,wins,losses,draws,ufcwins,ufclosses,ufcdraws,ufcnocon,ufctotalfights,Titlefighs_wins,pfp_rank,div_rank,divisions,maindiv,dob,strikes_landed_permin,sigstrikes_attempted,striking_acc,kd_permin,striking_def,strabsorbpm,takedown_landed,takedown_attempted,takedown_acc,control_time,takedown_def,sub_attempted,sub_avg15,total_sub,sub_resistance,durability
Marco Polo Reyes,,Orthodox,216,39.65,79.11,1.75,59.07,52.81,11.61,75.58,5.22,8,7,0,4,4.0,0.0,0.0,8,0,Unranked,Unranked,"['featherweight', 'lightweight']",lightweight,1984/11/07,93.73,66.51,66.6,89.59,69.05,49.61,1.64,1.77,1.52,1.83,61.35,56.62,52.43,56.54,70.69,31.24
Luigi Vendramini,The Italian Stallion,Orthodox,217,39.62,66.54,15.71,61.35,50.29,2.96,93.02,16.56,9,3,0,1,3.0,0.0,0.0,4,0,Unranked,Unranked,"['lightweight', 'welterweight']",lightweight,1996/01/16,67.68,63.39,69.11,65.98,60.64,53.74,14.86,14.79,13.56,14.35,75.55,56.64,61.46,56.57,70.72,11.23
Frank Camacho,The Crank,Orthodox,218,39.59,77.18,22.78,56.61,44.17,5.95,58.14,8.44,22,10,0,2,6.0,0.0,0.0,8,0,Unranked,Unranked,"['lightweight', 'welterweight']",lightweight,1989/05/18,92.65,88.45,70.66,56.96,59.62,36.17,21.69,22.03,22.71,20.97,69.04,57.21,52.98,57.13,59.12,11.86
Renee Forte,,Orthodox,219,39.55,62.73,43.85,56.61,49.84,2.96,23.26,42.66,8,4,0,1,3.0,0.0,0.0,4,0,Unranked,Unranked,"['lightweight', 'welterweight']",lightweight,1987/03/27,60.67,64.69,60.68,64.88,64.11,62.17,45.25,38.29,49.31,41.04,61.98,57.21,52.98,57.13,59.12,11.1
Jai Herbert,Black Country Banger,Orthodox,220,39.46,72.12,19.41,56.61,53.64,8.82,46.51,20.14,13,6,1,3,6.0,0.0,0.0,9,0,Unranked,Unranked,['lightweight'],lightweight,1988/05/13,70.62,63.32,70.03,84.52,60.99,59.84,17.18,19.03,18.28,20.31,66.11,57.21,52.98,57.13,59.12,27.62
James Moontasri,Moon Walker,Switch,221,39.44,69.76,3.91,60.81,57.33,5.86,93.02,16.26,9,5,0,2,4.0,0.0,0.0,6,0,Unranked,Unranked,"['welterweight', 'lightweight']",lightweight,1988/04/10,65.44,62.44,77.97,73.18,53.42,58.67,3.44,3.72,3.2,4.04,74.14,61.22,56.75,65.37,59.9,43.09
Justin Salas,J-Bomb,Southpaw,222,39.42,69.17,27.17,56.61,46.96,8.74,46.51,10.49,12,7,0,3,4.0,0.0,0.0,7,0,Unranked,Unranked,['lightweight'],lightweight,1982/03/13,72.05,67.68,71.41,65.55,71.14,60.74,32.27,31.87,26.01,26.5,39.26,57.21,52.98,57.13,59.12,16.7
Viacheslav Borshchev,Slava Claus,Orthodox,223,39.34,83.08,2.08,54.51,55.66,8.82,69.77,5.65,8,6,1,3,6.0,0.0,0.0,9,0,Unranked,Unranked,['lightweight'],lightweight,1992/01/08,85.84,83.33,80.9,82.25,68.18,54.9,1.95,2.12,1.82,2.2,60.28,57.84,55.1,57.77,47.34,39.27
KJ Noons,King,Orthodox,224,39.33,67.47,8.88,56.61,69.51,5.86,58.14,0.15,13,9,0,2,4.0,0.0,0.0,6,0,Unranked,Unranked,"['welterweight', 'lightweight']",lightweight,1982/12/07,72.79,69.8,62.91,64.37,77.43,63.05,7.9,8.38,8.81,8.37,74.15,57.21,52.98,57.13,59.12,63.42
Nikolas Motta,Iron,Orthodox,225,39.29,76.67,0.84,59.07,60.1,8.74,69.77,3.05,15,6,0,3,3.0,0.0,1.0,7,0,Unranked,Unranked,['lightweight'],lightweight,1993/02/08,77.21,75.07,66.36,88.04,64.73,51.96,0.75,0.8,0.69,0.82,78.3,56.62,52.43,56.54,70.69,45.42
