name,nickname,stance,rank,overall,striking,wrestling,grappling,defense,career_score,finishing,dominance,wins,losses,draws,ufcwins,ufclosses,ufcdraws,ufcnocon,ufctotalfights,Titlefighs_wins,pfp_rank,div_rank,divisions,maindiv,dob,strikes_landed_permin,sigstrikes_attempted,striking_acc,kd_permin,striking_def,strabsorbpm,takedown_landed,takedown_attempted,takedown_acc,control_time,takedown_def,sub_attempted,sub_avg15,total_sub,sub_resistance,durability
Louis Cosce,,Orthodox,270,31.26,74.38,14.2,60.19,38.4,0.04,0.0,15.28,7,2,0,0,2.0,0.0,0.0,2,0,Unranked,Unranked,['welterweight'],welterweight,1995/08/27,86.6,63.7,76.97,70.24,49.16,42.05,14.46,14.38,13.4,13.87,51.74,55.66,60.01,55.69,69.4,10.65
Manuel Rodriguez,Chalate,Orthodox,271,31.21,59.5,66.65,0.0,32.44,0.0,0.0,24.87,11,5,0,0,1.0,0.0,0.0,1,0,Unranked,Unranked,['welterweight'],welterweight,1985/04/25,53.03,61.18,60.66,63.12,38.04,51.27,100.0,52.51,75.65,52.5,30.45,44.96,,44.98,56.06,10.01
Zelim Imadaev,,Orthodox,272,30.89,66.58,21.25,55.84,38.63,0.09,0.0,13.78,8,3,0,0,3.0,0.0,0.0,3,0,Unranked,Unranked,['welterweight'],welterweight,1995/01/25,70.81,70.31,63.2,62.0,43.89,46.45,18.75,19.59,24.44,20.34,53.86,56.22,52.95,56.24,57.94,10.32
Rory Markham,,Orthodox,273,30.71,58.78,0.0,58.28,29.98,2.95,93.02,0.04,17,6,0,1,2.0,0.0,0.0,3,0,Unranked,Unranked,['welterweight'],welterweight,1982/03/25,62.25,60.61,44.98,67.27,54.87,15.02,0.0,0.0,0.0,0.0,37.65,55.65,52.42,55.67,69.39,12.37
Chris Indich,,Unknown,274,30.63,59.52,21.77,64.01,37.77,0.04,0.0,7.67,6,4,0,0,2.0,0.0,0.0,2,0,Unranked,Unranked,['welterweight'],welterweight,1987/04/22,56.98,62.23,56.41,62.47,43.93,46.67,20.66,20.29,25.3,20.32,50.16,55.69,75.18,55.72,69.45,10.33
Ronald Jhun,The Machine Gun,Orthodox,275,30.54,71.24,43.38,0.0,45.39,0.0,0.0,2.61,24,26,2,0,1.0,0.0,0.0,1,0,Unranked,Unranked,['welterweight'],welterweight,1970/09/21,61.32,63.97,93.87,65.8,49.84,53.5,40.75,33.86,57.25,33.56,68.03,44.96,,44.98,46.34,10.2
Jorge Lopez,,Orthodox,276,30.49,74.9,37.26,0.0,48.88,0.04,0.0,51.62,11,5,0,0,2.0,0.0,0.0,2,0,Unranked,Unranked,['welterweight'],welterweight,1988/11/21,70.35,68.48,95.56,65.21,52.05,58.48,44.08,33.26,34.94,33.6,63.7,44.96,,44.98,56.06,21.3
Marcio Alexandre Junior,Lyoto,Southpaw,277,30.32,66.61,9.64,58.51,39.82,6.52,0.0,4.39,17,4,0,0,3.0,0.0,0.0,3,0,Unranked,Unranked,"['welterweight', 'ultimate fighter brazil 3 middleweight tournament']",welterweight,1989/05/05,61.4,63.99,76.76,64.29,41.67,53.18,8.84,9.49,9.18,9.27,54.42,56.21,63.65,56.24,57.94,10.01
Mike Stumpf,,Unknown,278,30.31,69.48,17.85,58.9,34.52,0.04,0.0,9.88,11,4,0,0,2.0,0.0,0.0,2,0,Unranked,Unranked,['welterweight'],welterweight,1986/08/01,77.4,61.96,74.27,64.3,53.74,23.32,19.87,17.93,17.7,17.29,49.37,56.22,65.19,56.25,57.95,11.64
Luiz Dutra,Besouro,Orthodox,279,29.7,73.86,0.41,58.28,48.51,0.04,0.0,2.56,13,6,1,0,2.0,0.0,0.0,2,0,Unranked,Unranked,['welterweight'],welterweight,1982/05/06,83.55,63.2,83.79,64.91,45.17,47.16,0.35,0.39,0.32,0.39,73.98,55.65,52.42,55.67,69.39,27.73
Salim Touahri,Grizzly,Orthodox,280,29.69,69.86,1.14,58.28,51.5,0.09,0.0,6.1,10,4,0,0,3.0,0.0,0.0,3,0,Unranked,Unranked,['welterweight'],welterweight,1989/09/28,69.73,69.07,77.09,63.54,60.86,57.76,1.0,1.13,0.91,1.13,65.68,55.65,52.42,55.67,69.39,21.7
Richie Hightower,The Dirty Samurai,Orthodox,280,29.69,69.19,51.2,0.0,33.16,0.0,0.0,2.16,8,4,0,0,1.0,0.0,0.0,1,0,Unranked,Unranked,['welterweight'],welterweight,1974/11/26,87.51,63.13,63.06,63.06,23.09,31.35,56.7,38.32,64.78,37.95,68.01,44.96,,44.98,56.06,10.19
Hayato Sakurai,Mach,Orthodox,282,29.67,71.75,32.75,0.0,45.2,6.44,0.0,0.0,38,13,2,0,1.0,0.0,0.0,1,0,Unranked,Unranked,['welterweight'],welterweight,1975/08/24,70.08,63.14,82.81,70.97,58.5,59.95,34.43,28.15,40.33,28.02,52.09,44.96,,44.98,56.06,10.26
Carlos Eduardo Rocha,Ta Danado,Orthodox,283,29.65,61.38,1.74,0.0,61.46,2.95,93.02,9.01,9,4,0,1,2.0,0.0,0.0,3,0,Unranked,Unranked,['welterweight'],welterweight,1981/07/12,56.38,65.33,61.29,62.51,63.01,69.54,1.6,1.83,1.46,1.82,58.2,44.96,,52.53,56.06,55.09
Chance Rencountre,Black Eagle,Southpaw,284,29.59,55.63,21.2,0.0,53.06,5.85,58.14,23.23,14,4,0,2,2.0,0.0,0.0,4,0,Unranked,Unranked,['welterweight'],welterweight,1986/12/31,52.69,67.71,42.37,59.75,57.91,59.26,22.85,22.44,21.26,22.69,43.76,44.96,,52.53,56.06,51.32
Chris Cope,C-Murder,Orthodox,285,29.34,65.05,0.67,58.28,42.4,2.95,23.26,3.98,8,4,0,1,2.0,0.0,0.0,3,0,Unranked,Unranked,['welterweight'],welterweight,1983/03/05,78.05,71.95,49.83,60.37,51.57,44.75,0.59,0.66,0.54,0.66,62.73,55.65,52.42,55.67,69.39,10.55
Jay Hieron,The Thoroughbred,Orthodox,286,29.21,61.68,43.92,0.0,46.78,0.13,0.0,12.66,23,7,0,0,4.0,0.0,0.0,4,0,Unranked,Unranked,['welterweight'],welterweight,1976/07/29,59.6,66.85,58.34,61.94,60.51,60.38,54.66,38.84,46.52,36.67,55.94,44.96,,44.98,56.06,10.29
Pete Rodriguez,Dead Game,Switch,287,29.04,85.11,0.08,0.0,36.35,2.95,93.02,0.57,5,2,0,1,2.0,0.0,0.0,3,0,Unranked,Unranked,['welterweight'],welterweight,1996/11/13,100.0,66.17,73.63,69.46,51.15,0.0,0.07,0.08,0.06,0.08,81.96,44.96,,44.98,56.06,12.29
