name,height,weight,reach,wins,losses,draws,str_acc,sapm,str_def,splm,td_avg,td_def,td_avg_acc,sub_avg,kd,sub_att,ctrl,sig_str_landed,sig_str_atmpted,td_landed,td_atmpted,stance,nick_name,dob,division,main_div,method,method_losses,finish_round,total_rounds,title_fight,won_title_fight,total_ufc_fights,won_fight,ko_losses,totsub_losses,totdec_losses,nocon_losses,loss_fights,ko_t,totsub,totdec,pfp_rank,div_rank
Nolan Ticman,167.64,56.7,,4,3,0,,2.53,,2.57,0.0,60.0,0.0,0.0,0.0,0.0,116.0,0.0,0.0,0.0,5.0,Orthodox,,1988/05/17,"['flyweight', 'bantamweight']",bantamweight,[],"['Decision - Split', 'Decision - Unanimous']",[],6.0,0,0,2,0,0.0,0.0,2.0,0.0,2.0,0,0,0,Unranked,Unranked
Norifumi Yamamoto,162.56,61.23,167.64,18,6,0,45.0,2.01,57.0,2.09,0.41,45.0,22.0,0.0,0.0,0.0,316.0,19.0,49.0,2.0,8.0,Southpaw,Kid,1977/03/15,['bantamweight'],bantamweight,[],"['Submission', 'Decision - Unanimous', 'Decision - Unanimous', 'Could Not Continue']",[],12.0,0,0,4,0,0.0,1.0,2.0,0.0,4.0,0,0,0,Unranked,Unranked
Patchy Mix,180.34,61.23,177.8,20,2,0,40.0,11.53,42.0,8.13,0.0,0.0,0.0,,0.0,0.0,0.0,122.0,304.0,0.0,1.0,Southpaw,No Love,1993/08/16,['bantamweight'],bantamweight,[],['Decision - Unanimous'],[],3.0,0,0,1,0,0.0,0.0,1.0,0.0,1.0,0,0,0,Unranked,Unranked
Patrick Williams,172.72,61.23,185.42,8,6,0,51.0,4.12,52.0,4.12,2.71,100.0,41.0,0.5,1.0,0.0,131.0,77.0,148.0,5.0,12.0,Orthodox,The Animal,1981/09/07,['bantamweight'],bantamweight,['Submission'],"['KO/TKO', 'Decision - Unanimous', 'KO/TKO']",[1.0],12.0,0,0,4,1,2.0,0.0,1.0,0.0,3.0,0,1,0,Unranked,Unranked
Payton Talbott,177.8,61.23,177.8,10,1,0,,3.2599999999999993,,6.05,0.24,76.0,25.0,0.2,2.0,1.0,610.0,0.0,0.0,1.0,3.0,Switch,,1998/09/09,['bantamweight'],bantamweight,"['Decision - Unanimous', 'KO/TKO', 'KO/TKO', 'Submission']",['Decision - Unanimous'],"[3.0, 1.0, 2.0, 3.0]",15.0,0,0,5,4,0.0,0.0,1.0,0.0,1.0,2,1,1,Unranked,Unranked
Pedro Falcao,167.64,61.23,167.64,16,5,0,48.0,3.39,50.0,3.21,2.73,66.0,25.0,0.0,0.0,0.0,608.0,57.0,117.0,5.0,26.0,Orthodox,Pedrinho,1992/07/30,['bantamweight'],bantamweight,[],"['Decision - Unanimous', 'Decision - Unanimous']",[],6.0,0,0,2,0,0.0,0.0,2.0,0.0,2.0,0,0,0,Unranked,Unranked
Pedro Munhoz,167.64,61.23,165.1,20,10,0,41.0,6.29,55.0,5.38,0.4799999999999999,82.0,16.0,0.5,7.0,6.0,801.0,529.0,1361.0,8.0,50.0,Orthodox,The Young Punisher,1986/09/07,['bantamweight'],bantamweight,"['Decision - Unanimous', 'Decision - Unanimous', 'KO/TKO', 'Decision - Unanimous', 'Submission', 'Decision - Unanimous', 'Submission', 'KO/TKO', 'KO/TKO', 'Submission']","['Decision - Unanimous', 'Could Not Continue', 'Decision - Unanimous', 'Decision - Split', 'Decision - Split', 'Overturned', 'Decision - Unanimous', 'Decision - Unanimous', 'Decision - Unanimous', 'Decision - Unanimous', 'Decision - Split', 'Decision - Unanimous']","[3.0, 3.0, 1.0, 3.0, 1.0, 3.0, 2.0, 1.0, 1.0, 1.0]",68.0,0,0,22,10,0.0,0.0,10.0,1.0,11.0,3,3,4,Unranked,4.0
Pedro Nobre,165.1,61.23,,18,4,2,30.0,9.16,35.0,1.37,0.0,0.0,0.0,,0.0,0.0,3.0,3.0,10.0,0.0,1.0,Unknown,The Rock,1986/02/13,['bantamweight'],bantamweight,[],['Could Not Continue'],[],3.0,0,0,1,0,0.0,0.0,0.0,0.0,1.0,0,0,0,Unranked,Unranked
Petr Yan,170.18,61.23,170.18,18,5,0,54.0,4.13,58.0,5.11,1.61,84.0,49.0,0.1,10.0,1.0,2173.0,300.0,605.0,26.0,53.0,Switch,No Mercy,1993/02/11,"['bantamweight', 'interim bantamweight']",bantamweight,"['Decision - Unanimous', 'Decision - Unanimous', 'Decision - Unanimous', 'KO/TKO', 'KO/TKO', 'Decision - Unanimous', 'Decision - Unanimous', 'Decision - Unanimous', 'KO/TKO', 'KO/TKO']","['Decision - Unanimous', 'Decision - Split', 'DQ', 'Decision - Split']","[5.0, 3.0, 5.0, 5.0, 3.0, 3.0, 3.0, 3.0, 2.0, 1.0]",54.0,4,2,14,10,0.0,0.0,3.0,0.0,4.0,4,0,6,9.0,0.0
Pingyuan Liu,167.64,61.23,182.88,13,7,0,33.0,2.99,54.0,2.36,0.25,56.0,20.0,1.0,1.0,2.0,422.0,57.0,130.0,1.0,5.0,Orthodox,,1993/02/13,['bantamweight'],bantamweight,"['Decision - Split', 'Decision - Unanimous']","['KO/TKO', 'Decision - Split']","[3.0, 3.0]",12.0,0,0,4,2,1.0,0.0,1.0,0.0,2.0,0,0,2,Unranked,Unranked
