name,height,weight,reach,wins,losses,draws,str_acc,sapm,str_def,splm,td_avg,td_def,td_avg_acc,sub_avg,kd,sub_att,ctrl,sig_str_landed,sig_str_atmpted,td_landed,td_atmpted,stance,nick_name,dob,division,main_div,method,method_losses,finish_round,total_rounds,title_fight,won_title_fight,total_ufc_fights,won_fight,ko_losses,totsub_losses,totdec_losses,nocon_losses,loss_fights,ko_t,totsub,totdec,pfp_rank,div_rank
Claude Patrick,180.34,77.11,190.5,14,2,0,55.0,0.89,69.0,1.8,2.32,84.0,53.0,1.7,0.0,3.0,1399.0,65.0,120.0,8.0,15.0,Orthodox,The Prince,1980/06/14,['welterweight'],welterweight,"['Decision - Unanimous', 'Decision - Unanimous', 'Submission']",['Decision - Split'],"[3.0, 3.0, 2.0]",12.0,0,0,4,3,0.0,0.0,1.0,0.0,1.0,0,1,2,Unranked,Unranked
Claudio Silva,180.34,77.11,180.34,14,4,0,42.0,3.0,46.0,2.48,2.85,44.0,26.0,1.1,0.0,3.0,1914.0,76.0,167.0,18.0,67.0,Southpaw,Hannibal,1982/09/06,"['welterweight', 'middleweight']",welterweight,"['Submission', 'Submission', 'Decision - Split', 'Submission', 'Decision - Unanimous']","['Decision - Unanimous', 'Decision - Unanimous', 'Decision - Unanimous']","[1.0, 1.0, 3.0, 3.0, 3.0]",24.0,0,0,8,5,0.0,0.0,3.0,0.0,3.0,0,3,2,Unranked,Unranked
Clay Harvison,185.42,77.11,187.96,13,6,0,48.0,3.91,58.0,3.2900000000000005,0.66,68.0,100.0,1.3,0.0,2.0,230.0,6.0,21.0,1.0,1.0,Orthodox,Bushwacker,1980/09/25,['welterweight'],welterweight,['Decision - Split'],"['Submission', 'KO/TKO']",[3.0],9.0,0,0,3,1,1.0,1.0,0.0,0.0,2.0,0,0,1,Unranked,Unranked
Colby Covington,180.34,77.11,182.88,17,5,0,38.0,3.09,54.0,3.8099999999999996,3.64,68.0,42.0,0.20000000000000004,1.0,2.0,7513.0,666.0,1793.0,70.0,164.0,Orthodox,Chaos,1988/02/22,"['welterweight', 'interim welterweight']",welterweight,"['Decision - Unanimous', 'KO/TKO', 'Decision - Unanimous', 'KO/TKO', 'Submission', 'Decision - Unanimous', 'Decision - Unanimous', 'Decision - Unanimous', 'Decision - Unanimous', 'Decision - Unanimous', 'Submission', 'KO/TKO']","[""TKO - Doctor's Stoppage"", 'Decision - Unanimous', 'Decision - Unanimous', 'KO/TKO', 'Submission']","[5.0, 5.0, 5.0, 3.0, 3.0, 5.0, 3.0, 3.0, 3.0, 3.0, 3.0, 1.0]",67.0,4,1,17,12,2.0,1.0,2.0,0.0,5.0,3,2,7,Unranked,1.0
Cole Williams,182.88,77.11,185.42,11,3,0,27.0,5.34,23.0,0.31,0.0,25.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,Orthodox,Havoc,1983/12/15,['welterweight'],welterweight,[],"['Submission', 'Submission']",[],6.0,0,0,2,0,0.0,2.0,0.0,0.0,2.0,0,0,0,Unranked,Unranked
Court McGee,180.34,77.11,190.5,23,14,0,36.0,3.65,60.0,4.5,1.78,70.0,24.0,0.5,3.0,9.0,4309.0,182.0,446.0,36.0,145.0,Orthodox,The Crusher,1984/12/12,"['welterweight', 'middleweight', 'ultimate fighter 11 middleweight tournament']",welterweight,"['Submission', 'Decision - Unanimous', 'Decision - Unanimous', 'Decision - Unanimous', 'Decision - Unanimous', 'Decision - Split', 'Decision - Unanimous', 'Decision - Unanimous', 'Submission', 'Submission', 'Decision - Unanimous']","['Decision - Unanimous', 'KO/TKO', 'Decision - Unanimous', 'Decision - Split', 'Decision - Unanimous', 'Decision - Unanimous', 'KO/TKO', 'Decision - Unanimous', 'Decision - Unanimous', 'Decision - Unanimous', 'Decision - Unanimous', 'KO/TKO', 'Decision - Unanimous']","[1.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 2.0, 3.0]",72.0,1,1,24,11,3.0,0.0,10.0,0.0,13.0,0,3,8,Unranked,Unranked
Craig White,187.96,77.11,193.04,14,9,0,40.0,3.28,39.0,1.23,0.0,50.0,0.0,,1.0,0.0,117.0,24.0,59.0,0.0,2.0,Orthodox,The Thundercat,1990/07/01,['welterweight'],welterweight,[],"['Decision - Unanimous', 'KO/TKO']",[],6.0,0,0,2,0,1.0,0.0,1.0,0.0,2.0,0,0,0,Unranked,Unranked
Curtis Millender,187.96,77.11,193.04,17,5,0,46.0,2.95,61.0,3.8600000000000003,0.43,57.0,100.0,0.0,2.0,0.0,53.0,47.0,107.0,1.0,1.0,Orthodox,Curtious,1987/12/01,['welterweight'],welterweight,"['Decision - Unanimous', 'Decision - Unanimous', 'KO/TKO']","['Decision - Unanimous', 'Submission']","[3.0, 3.0, 2.0]",15.0,0,0,5,3,0.0,1.0,1.0,0.0,2.0,1,0,2,Unranked,15.0
DaMarques Johnson,185.42,77.11,190.5,15,15,0,37.0,3.75,51.0,2.11,1.18,19.0,55.0,0.7,2.0,3.0,812.0,30.0,74.0,5.0,9.0,Orthodox,Darkness,1982/06/28,"['catch weight', 'welterweight', 'ultimate fighter 9 welterweight tournament']",welterweight,"['KO/TKO', 'Submission', 'KO/TKO', 'Submission']","['Submission', 'Submission', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'Submission']","[1.0, 1.0, 3.0, 1.0]",30.0,1,0,10,4,3.0,3.0,0.0,0.0,6.0,2,2,0,Unranked,Unranked
Daichi Abe,180.34,77.11,180.34,6,2,0,33.0,4.49,56.0,3.7999999999999994,0.33,0.0,50.0,0.0,1.0,0.0,22.0,108.0,325.0,1.0,2.0,Orthodox,,1991/11/27,['welterweight'],welterweight,['Decision - Unanimous'],"['Decision - Unanimous', 'Decision - Unanimous']",[3.0],9.0,0,0,3,1,0.0,0.0,2.0,0.0,2.0,0,0,1,Unranked,Unranked
Dan Barrera,175.26,77.11,,3,1,0,70.0,1.2,28.0,0.8,1.0,0.0,8.0,,0.0,0.0,429.0,12.0,17.0,1.0,12.0,Orthodox,The Fireman,1980/12/23,['welterweight'],welterweight,[],['Decision - Unanimous'],[],3.0,0,0,1,0,0.0,0.0,1.0,0.0,1.0,0,0,0,Unranked,Unranked
Dan Cramer,187.96,77.11,,11,4,0,30.0,2.1,31.0,0.97,0.0,66.0,0.0,0.5,0.0,0.0,750.0,5.0,28.0,0.0,2.0,Orthodox,,1985/10/31,['welterweight'],welterweight,['Decision - Split'],['Decision - Unanimous'],[3.0],6.0,0,0,2,1,0.0,0.0,1.0,0.0,1.0,0,0,1,Unranked,Unranked
