name,nickname,stance,rank,overall,striking,wrestling,grappling,defense,career_score,finishing,dominance,wins,losses,draws,ufcwins,ufclosses,ufcdraws,ufctotalfights,Titlefighs_wins,pfp_rank,div_rank,divisions,maindiv,dob,strikes_landed_permin,sigstrikes_attempted,striking_acc,kd_permin,striking_def,strabsorbpm,takedown_landed,takedown_attempted,takedown_acc,control_time,takedown_def,sub_attempted,sub_avg15,total_sub,sub_resistance,durability
Mackenzie Dern,,Orthodox,11,65.66,66.83,60.04,98.59,74.41,44.73,62.5,46.07,15,5,0,15,5,0,15,0,12.0,4.0,"[""women's strawweight""]",women's strawweight,1993/03/24,37.84,13.43,48.79,29.27,52.5,61.19,19.13,50.37,17.01,93.21,24.98,100.0,33.33,100.0,100.0,65.19
Yan Xiaonan,,Orthodox,12,63.36,75.97,53.11,58.09,85.0,58.25,33.34,15.05,19,5,0,19,5,0,13,0,8.0,1.0,"[""women's strawweight""]",women's strawweight,1989/06/16,58.56,49.8,60.98,29.27,72.5,71.6,18.08,11.11,73.0,24.73,63.99,0.0,0.0,0.0,100.0,66.67
Cynthia Calvillo,,Orthodox,13,62.21,63.99,60.8,79.63,74.85,41.43,62.5,32.09,9,6,1,9,6,1,13,0,10.0,2.0,"[""women's strawweight"", ""women's flyweight""]",women's strawweight,1987/07/13,54.36,39.05,43.9,0.0,82.5,57.77,38.71,33.33,43.99,50.22,76.98,28.57,22.22,60.0,100.0,40.17
Amanda Ribas,,Orthodox,14,61.06,67.26,72.4,71.35,75.8,27.77,57.14,43.51,13,6,0,13,6,0,12,0,Unranked,7.0,"[""women's flyweight"", ""women's strawweight""]",women's strawweight,1993/08/26,52.54,36.4,46.34,14.64,72.5,71.42,44.3,28.89,53.0,66.43,82.99,28.57,16.66,40.0,79.99,43.52
Angela Hill,Overkill,Orthodox,15,60.83,87.89,64.98,58.71,76.08,29.2,42.31,27.91,18,14,0,18,14,0,27,0,Unranked,9.0,"[""women's strawweight"", 'catch weight']",women's strawweight,1985/01/12,70.27,100.0,73.18,43.9,75.0,45.34,17.43,47.41,31.99,90.52,74.99,0.0,2.78,19.99,60.0,48.14
Tecia Pennington,Tiny Tornado,Orthodox,16,57.94,73.55,44.04,64.21,84.48,39.79,38.64,31.21,15,7,0,15,7,0,18,0,Unranked,4.0,"[""women's strawweight""]",women's strawweight,1989/08/16,59.91,33.98,68.3,14.64,75.0,67.7,11.63,48.15,13.0,64.31,61.98,7.15,2.78,19.99,100.0,65.43
Loma Lookboonmee,,Orthodox,17,57.22,70.38,57.6,64.21,88.98,22.82,35.71,31.45,10,3,0,10,3,0,9,0,Unranked,14.0,"[""women's strawweight""]",women's strawweight,1996/01/18,46.25,2.69,87.8,0.0,52.5,83.4,43.66,24.44,50.99,32.42,72.98,7.15,2.78,19.99,100.0,80.24
Tabatha Ricci,Baby Shark,Orthodox,18,56.7,60.98,67.83,63.48,80.88,24.41,37.5,51.27,11,3,0,11,3,0,9,0,Unranked,7.0,"[""women's strawweight"", ""women's flyweight""]",women's strawweight,1995/02/21,50.9,22.56,39.03,0.0,65.0,39.6,58.92,42.96,37.01,52.83,81.0,0.0,2.78,19.99,100.0,61.73
Denise Gomes,Dee,Orthodox,19,55.78,79.6,42.91,64.22,84.34,16.3,70.0,44.57,11,3,0,11,3,0,7,0,Unranked,15.0,"[""women's strawweight""]",women's strawweight,1999/12/30,57.05,20.97,73.18,43.9,50.01,74.53,25.6,14.07,36.01,35.74,67.0,21.44,22.22,0.0,100.0,74.6
Iasmin Lucindo,,Orthodox,20,55.77,62.2,60.04,63.99,89.19,17.87,43.75,43.51,17,6,0,17,6,0,6,0,Unranked,7.0,"[""women's flyweight"", ""women's strawweight""]",women's strawweight,2002/01/08,32.29,17.35,58.54,0.0,85.01,82.45,46.24,14.81,60.0,29.89,53.99,0.0,5.55,19.99,100.0,70.37
