name,nickname,stance,rank,overall,striking,wrestling,grappling,defense,career_score,finishing,dominance,wins,losses,draws,ufcwins,ufclosses,ufcdraws,ufctotalfights,Titlefighs_wins,pfp_rank,div_rank,divisions,maindiv,dob,strikes_landed_permin,sigstrikes_attempted,striking_acc,kd_permin,striking_def,strabsorbpm,takedown_landed,takedown_attempted,takedown_acc,control_time,takedown_def,sub_attempted,sub_avg15,total_sub,sub_resistance,durability
Benardo Sopaj,Lion King,Orthodox,157,34.81,77.51,43.81,0.0,49.41,3.17,23.26,48.08,12,3,0,12,3,0,2,0,Unranked,Unranked,['bantamweight'],bantamweight,2000/09/25,44.64,14.17,79.03,8.33,42.85,64.15,37.47,4.48,71.0,8.14,75.99,0.0,,0.0,100.0,16.67
Albert Morales,The Warrior,Orthodox,158,34.78,64.4,25.0,55.54,45.01,3.35,23.26,28.07,7,4,1,7,4,1,6,0,Unranked,Unranked,['bantamweight'],bantamweight,1991/05/25,40.11,26.52,45.17,0.0,57.15,71.74,13.48,5.12,35.0,14.26,70.02,0.0,,0.0,79.86,0.0
Martin Day,The Spartan,Orthodox,159,34.68,72.68,29.23,56.39,43.36,0.14,0.0,14.44,8,6,0,8,6,0,4,0,Unranked,Unranked,"['bantamweight', 'featherweight']",bantamweight,1988/11/10,41.79,13.36,61.29,16.67,51.02,73.13,10.65,1.92,60.0,4.88,65.01,0.0,,0.0,79.86,0.0
Cortavious Romious,,Southpaw,160,34.48,59.85,41.62,60.03,37.44,0.05,0.0,57.63,9,4,0,9,4,0,2,0,Unranked,Unranked,['bantamweight'],bantamweight,1994/01/06,20.1,2.83,49.99,0.0,22.45,75.86,33.92,5.75,66.0,9.75,64.01,0.0,,0.0,100.0,0.0
Walel Watson,The Gazelle,Orthodox,161,33.97,58.96,0.79,60.61,44.89,3.26,93.02,4.6,14,10,0,14,10,0,4,0,Unranked,Unranked,['bantamweight'],bantamweight,1984/07/16,22.09,2.58,35.48,16.67,30.62,73.13,0.0,0.65,0.0,1.56,61.01,16.34,,0.0,79.86,13.89
Damacio Page,The Angel of Death,Orthodox,162,33.85,60.47,41.37,51.95,39.39,0.09,0.0,31.29,19,10,0,19,10,0,3,0,Unranked,Unranked,['bantamweight'],bantamweight,1982/09/30,21.58,6.68,49.99,0.0,46.95,84.02,38.96,3.83,64.0,7.95,22.99,0.0,,0.0,39.57,0.0
Marcos Vinicius,Vina,Orthodox,163,33.8,65.69,1.4,59.18,37.55,3.21,93.02,12.5,23,11,1,23,11,1,3,0,Unranked,Unranked,"['flyweight', 'featherweight', 'bantamweight']",bantamweight,1979/12/05,20.32,0.94,67.75,0.0,38.78,80.4,0.0,0.0,0.0,3.17,25.0,0.0,,0.0,100.0,0.0
Cameron Smotherman,The Baby-Faced Killa,Orthodox,164,33.16,65.75,0.0,57.76,63.76,3.21,23.26,0.15,12,6,0,12,6,0,3,0,Unranked,Unranked,['bantamweight'],bantamweight,1997/09/17,42.85,22.55,48.39,0.0,61.22,75.36,0.0,0.0,0.0,0.03,62.0,0.0,,0.0,100.0,40.74
Matt Hobar,The Crowbar,Southpaw,165,33.06,67.79,45.06,0.0,47.81,3.21,23.26,80.6,9,3,0,9,3,0,3,0,Unranked,Unranked,['bantamweight'],bantamweight,1987/01/07,34.0,15.82,56.45,8.33,48.98,69.19,54.22,11.5,44.0,20.46,50.0,0.0,,0.0,100.0,14.81
Journey Newson,,Orthodox,166,32.66,61.0,11.0,55.82,53.54,3.35,23.26,4.6,10,5,0,10,5,0,6,0,Unranked,Unranked,"['catch weight', 'bantamweight']",bantamweight,1989/03/07,27.79,15.06,40.32,8.33,73.47,83.19,8.29,7.67,16.0,2.33,43.01,0.0,,0.0,79.86,14.81
Benito Lopez,Golden Boy,Switch,167,32.42,71.85,0.97,53.04,51.94,6.37,23.26,6.44,10,2,0,10,2,0,4,0,Unranked,Unranked,['bantamweight'],bantamweight,1994/04/06,46.2,13.36,61.29,8.33,57.15,61.68,0.0,0.0,0.0,2.18,72.99,0.0,,0.0,59.72,16.67
Aaron Phillips,The Dragon,Southpaw,168,32.39,67.1,27.85,57.5,37.1,0.14,0.0,24.96,12,5,0,12,5,0,4,0,Unranked,Unranked,"['bantamweight', 'featherweight']",bantamweight,1989/08/05,15.89,3.46,74.19,0.0,30.62,74.21,12.73,3.83,50.0,8.45,44.0,8.17,,0.0,79.86,0.0
Joshua Weems,Wide Open,Orthodox,169,32.25,81.37,38.72,0.0,50.49,0.0,0.0,14.49,11,3,0,11,3,0,1,0,Unranked,Unranked,['bantamweight'],bantamweight,1994/05/05,55.27,1.63,91.94,0.0,67.35,76.84,70.66,1.92,40.0,1.23,100.0,0.0,,0.0,79.86,0.0
Masanori Kanehara,,Orthodox,170,32.15,66.15,36.2,0.0,55.26,3.21,23.26,83.13,26,12,5,26,12,5,3,0,Unranked,15.0,['bantamweight'],bantamweight,1982/11/19,19.79,8.18,67.75,0.0,69.38,90.93,21.33,3.83,50.0,21.09,63.0,0.0,,0.0,79.86,14.81
Muin Gafurov,Tajik,Orthodox,171,31.65,68.98,23.91,0.0,60.79,6.37,23.26,38.94,20,6,0,20,6,0,4,0,Unranked,Unranked,['bantamweight'],bantamweight,1996/05/17,30.42,20.22,61.29,8.33,48.98,86.16,21.77,7.03,26.0,13.18,70.02,0.0,,0.0,79.86,36.11
Victor Hugo,Striker,Orthodox,172,31.4,68.96,17.62,0.0,71.03,3.17,23.26,7.71,25,5,0,25,5,0,2,0,Unranked,Unranked,"['featherweight', 'bantamweight']",bantamweight,1992/11/22,34.42,15.69,59.68,8.33,57.15,80.06,11.99,2.57,32.99,1.3,72.99,0.0,,0.0,100.0,55.56
Luan Lacerda,,Orthodox,173,31.1,69.11,17.41,59.47,39.39,0.05,0.0,13.8,12,3,0,12,3,0,2,0,Unranked,Unranked,['bantamweight'],bantamweight,1993/01/07,47.58,4.03,59.68,0.0,38.78,46.11,18.66,5.12,25.0,2.33,75.0,0.0,,0.0,100.0,0.0
Norifumi Yamamoto,Kid,Southpaw,174,30.91,64.07,13.98,54.97,50.68,0.14,0.0,18.17,18,6,0,18,6,0,4,0,Unranked,Unranked,['bantamweight'],bantamweight,1977/03/15,22.0,3.07,61.29,0.0,59.18,87.8,6.07,5.12,22.01,6.15,44.99,0.0,,0.0,79.86,13.89
Felipe Colares,Cabocao,Orthodox,175,30.77,66.08,34.45,0.0,45.8,6.46,23.26,53.64,10,4,0,10,4,0,6,0,Unranked,Unranked,"['featherweight', 'bantamweight']",bantamweight,1994/03/31,22.85,26.59,61.29,0.0,16.33,66.05,27.85,28.73,24.0,27.23,43.01,0.0,,0.0,100.0,27.78
Jerrod Sanders,J-Reazie,Orthodox,176,30.71,71.52,30.91,0.0,48.27,3.26,23.26,44.0,16,3,0,16,3,0,4,0,Unranked,Unranked,"['bantamweight', 'lightweight']",bantamweight,1979/10/01,9.26,2.33,91.94,0.0,36.75,94.98,32.59,7.67,32.99,14.89,50.0,0.0,,0.0,79.86,16.67
