name,nickname,stance,rank,overall,striking,wrestling,grappling,defense,career_score,finishing,dominance,wins,losses,draws,ufcwins,ufclosses,ufcdraws,ufctotalfights,Titlefighs_wins,pfp_rank,div_rank,divisions,maindiv,dob,strikes_landed_permin,sigstrikes_attempted,striking_acc,kd_permin,striking_def,strabsorbpm,takedown_landed,takedown_attempted,takedown_acc,control_time,takedown_def,sub_attempted,sub_avg15,total_sub,sub_resistance,durability
Fabiano Scherner,Pegaleve,Orthodox,193,22.57,61.63,17.32,0.0,42.55,0.05,0.0,11.71,11,10,0,11,10,0,2,0,Unranked,Unranked,['heavyweight'],heavyweight,1972/06/30,10.94,4.28,36.04,0.0,54.3,72.87,12.21,3.06,33.01,2.12,40.02,0.0,,0.0,100.0,0.0
Jack May,The Outlaw,Switch,194,22.32,63.85,16.53,0.0,39.87,0.05,0.0,11.3,9,3,0,9,3,0,2,0,Unranked,Unranked,['heavyweight'],heavyweight,1981/04/14,12.7,4.87,44.19,0.0,47.15,72.12,10.18,3.06,33.01,2.05,19.99,0.0,,0.0,100.0,0.0
Alvin Hines,Goozie,Orthodox,195,22.28,70.52,9.24,0.0,41.95,0.0,0.0,1.02,7,1,0,7,1,0,1,0,Unranked,Unranked,['heavyweight'],heavyweight,1991/10/20,45.65,19.36,36.04,0.0,54.3,36.69,11.21,10.17,9.99,0.09,0.0,0.0,,0.0,100.0,11.11
Wade Shipp,The Nightmare,Orthodox,196,21.46,81.0,0.39,0.0,37.77,0.0,0.0,8.96,11,5,0,11,5,0,1,0,Unranked,Unranked,['heavyweight'],heavyweight,1975/02/09,35.8,1.73,100.0,0.0,0.0,81.86,0.0,0.0,0.0,0.81,75.01,0.0,,0.0,100.0,0.0
Scott Junk,,Orthodox,197,21.34,75.93,0.65,0.0,41.82,0.0,0.0,15.07,8,3,1,8,3,1,1,0,Unranked,Unranked,['heavyweight'],heavyweight,1978/12/17,42.81,2.1,69.77,0.0,64.28,84.66,0.0,0.0,0.0,1.38,0.0,0.0,,0.0,77.87,0.0
Jon Madsen,,Orthodox,198,21.08,0.0,36.55,57.25,0.0,12.51,40.7,25.95,8,2,0,8,2,0,5,0,Unranked,Unranked,['heavyweight'],heavyweight,1980/02/12,20.53,0.0,,0.0,,90.0,14.78,7.13,71.0,11.78,70.01,0.0,,0.0,100.0,66.67
Uran Satybaldiev,Gorilla,Orthodox,199,21.01,62.6,0.51,0.0,53.48,0.0,0.0,4.07,9,1,0,9,1,0,1,0,Unranked,Unranked,['heavyweight'],heavyweight,1994/08/10,20.03,10.55,29.05,0.0,64.28,67.2,0.0,2.05,0.0,0.37,100.0,0.0,,0.0,100.0,11.11
Kevin Jordan,The Shaman,Orthodox,200,20.96,65.38,0.93,0.0,49.89,0.05,0.0,8.86,11,9,0,11,9,0,2,0,Unranked,Unranked,['heavyweight'],heavyweight,1970/12/31,16.7,6.43,46.51,0.0,78.58,83.8,0.0,1.01,0.0,1.61,77.01,0.0,,0.0,77.87,0.0
Konstantin Erokhin,,Orthodox,201,20.82,62.64,0.08,0.0,52.86,0.05,0.0,1.02,9,3,0,9,3,0,2,0,Unranked,Unranked,['heavyweight'],heavyweight,1983/01/31,8.94,6.52,41.85,0.0,67.15,84.48,0.0,0.0,0.0,0.19,70.01,0.0,,0.0,100.0,11.11
Josh Shockman,The War Hammer,Southpaw,202,20.42,60.97,0.23,0.0,52.17,0.0,0.0,5.5,6,3,0,6,3,0,1,0,Unranked,Unranked,['heavyweight'],heavyweight,1980/12/29,7.27,3.0,37.21,0.0,82.86,92.63,0.0,0.0,0.0,0.5,23.03,0.0,,0.0,100.0,11.11
Christian Colombo,,Orthodox,203,20.2,68.37,1.15,0.0,42.35,0.09,0.0,7.74,8,3,1,8,3,1,3,0,Unranked,Unranked,['heavyweight'],heavyweight,1980/07/01,23.05,13.54,51.17,0.0,60.0,65.94,0.0,1.01,0.0,2.1,33.02,0.0,,0.0,55.72,0.0
Gilbert Yvel,The Hurricane,Orthodox,204,20.08,65.38,1.01,0.0,44.85,0.09,0.0,6.52,39,16,1,39,16,1,3,0,Unranked,Unranked,['heavyweight'],heavyweight,1976/06/30,8.77,6.06,54.64,0.0,71.43,84.9,0.0,1.01,0.0,1.79,25.02,0.0,,0.0,100.0,0.0
Alexandre Dantas,Cafe,Orthodox,205,20.06,58.0,6.84,0.0,45.01,0.05,0.0,51.22,0,3,0,0,3,0,2,0,Unranked,Unranked,"['heavyweight', 'middleweight']",heavyweight,1979/03/01,1.77,3.52,29.05,0.0,85.7,84.15,0.0,15.26,0.0,9.3,0.0,0.0,,0.0,100.0,0.0
Aaron Brink,,Orthodox,206,19.86,68.16,0.2,0.0,41.95,0.0,0.0,0.81,26,26,0,26,26,0,1,0,Unranked,Unranked,['heavyweight'],heavyweight,1974/11/12,29.13,0.39,48.83,0.0,81.42,51.61,0.0,1.01,0.0,0.07,0.0,0.0,,0.0,77.87,0.0
Neil Wain,Old School,Orthodox,207,19.75,68.65,0.0,0.0,41.05,0.0,0.0,0.0,13,4,0,13,4,0,1,0,Unranked,Unranked,['heavyweight'],heavyweight,,22.03,0.61,58.13,0.0,61.42,27.37,0.0,0.0,0.0,0.0,50.02,0.0,,0.0,100.0,0.0
Wes Sims,The Project,Orthodox,208,19.7,65.96,0.7,0.0,42.5,0.09,0.0,4.21,24,14,1,24,14,1,3,0,Unranked,Unranked,['heavyweight'],heavyweight,1979/08/04,8.18,2.1,59.3,0.0,52.85,74.99,0.0,1.01,0.0,1.15,40.02,0.0,,0.0,100.0,0.0
Harry Hunsucker,The Hurricane,Orthodox,208,19.7,70.9,0.17,0.0,38.21,0.09,0.0,0.0,7,6,0,7,6,0,3,0,Unranked,Unranked,"['light heavyweight', 'heavyweight']",heavyweight,1989/01/03,29.55,1.42,60.47,0.0,60.0,44.66,0.0,1.01,0.0,0.0,0.0,0.0,,0.0,100.0,0.0
Josh Copeland,Cuddly Bear,Orthodox,210,19.64,61.31,0.08,0.0,47.65,0.05,0.0,1.02,12,4,0,12,4,0,2,0,Unranked,Unranked,['heavyweight'],heavyweight,1982/10/20,8.6,6.89,36.04,0.0,78.58,74.48,0.0,0.0,0.0,0.19,57.01,0.0,,0.0,100.0,0.0
James McSweeney,The Hammer,Switch,211,19.41,0.0,18.45,62.58,0.0,3.18,93.02,34.56,15,15,0,15,15,0,3,0,Unranked,Unranked,"['light heavyweight', 'heavyweight']",heavyweight,1980/10/24,32.88,0.0,,0.0,,63.31,5.83,3.06,33.01,9.41,100.0,15.34,,0.0,100.0,0.0
Sean Alvarez,,Orthodox,212,19.33,62.14,3.18,0.0,41.34,0.0,0.0,40.12,4,3,0,4,3,0,1,0,Unranked,Unranked,['heavyweight'],heavyweight,1971/07/14,7.43,1.21,43.02,0.0,67.15,72.45,0.0,9.16,0.0,3.64,0.0,0.0,,0.0,100.0,0.0
